anio,codigo_cie,seccion,industria,valor,unidad,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2024P,68,L -Actividades inmobiliarias,Actividades inmobiliarias,24391.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40375,2024P_68,2026-07-09
2018,31730,Total L -Actividades inmobiliarias,29597,35271.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40376,2018_31730,2026-07-09
2019,31730,Total L -Actividades inmobiliarias,29597,26013.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40377,2019_31730,2026-07-09
2020,31730,Total L -Actividades inmobiliarias,29597,27273.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40378,2020_31730,2026-07-09
2021,31730,Total L -Actividades inmobiliarias,29597,25504.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40379,2021_31730,2026-07-09
2022,31730,Total L -Actividades inmobiliarias,29597,24391.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40380,2022_31730,2026-07-09
2018,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",488387.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40381,2018_69,2026-07-09
2019,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",542569.5,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40382,2019_69,2026-07-09
2020,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",575980.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40383,2020_69,2026-07-09
2021,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",481066.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40384,2021_69,2026-07-09
2022,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",512202.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40385,2022_69,2026-07-09
2023,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",499137.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40386,2023_69,2026-07-09
2020,229989,Total Q -Salud y asistencia social,207603,226642.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40426,2020_229989,2026-07-09
2021,229989,Total Q -Salud y asistencia social,207603,219803.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40427,2021_229989,2026-07-09
2022,229989,Total Q -Salud y asistencia social,207603,216982.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40428,2022_229989,2026-07-09
2018,75,"R - S - U -Arte, entretenimiento y otras actividades de servicios","Servicios de asociaciones, personales; esparcimiento; culturales y deportivos",309360.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40429,2018_75,2026-07-09
2019,75,"R - S - U -Arte, entretenimiento y otras actividades de servicios","Servicios de asociaciones, personales; esparcimiento; culturales y deportivos",244456.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40430,2019_75,2026-07-09
2020,75,"R - S - U -Arte, entretenimiento y otras actividades de servicios","Servicios de asociaciones, personales; esparcimiento; culturales y deportivos",276180.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40431,2020_75,2026-07-09
