encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,total_nacional,total_urbana,total_rural
ENEMDU*,ene-23,2023,1,Desempleo Abierto,272533,237729,34804
ENEMDU*,ene-23,2023,1,Desempleo Oculto,49065,40297,8768
ENEMDU*,ene-23,2023,1,Desempleo Cesante,241769,213821,27948
ENEMDU*,ene-23,2023,1,Desempleo Nuevo,79829,64205,15624
ENEMDU*,ene-23,2023,1,Poblaciï¿½n Econï¿½micamente Inactiva,4387708,3404344,983364
ENEMDU*,feb-23,2023,2,Poblaciï¿½n Total,18224686,12424445,5800241
ENEMDU*,feb-23,2023,2,Poblaciï¿½n menor de 15 aï¿½os,5252920,3387781,1865139
ENEMDU*,feb-23,2023,2,Poblaciï¿½n en Edad de Trabajar (PET),12971766,9036664,3935102
ENEMDU*,feb-23,2023,2,Poblaciï¿½n Econï¿½micamente Activa,8507794,5597520,2910274
ENEMDU*,feb-23,2023,2,Empleo,8179132,5307930,2871202
ENEMDU*,feb-23,2023,2,Empleo Adecuado/Pleno,2803265,2326670,476595
ENEMDU,mar-19,2019,3,Desempleo Cesante,281108,236596,44511
ENEMDU,mar-19,2019,3,Desempleo Nuevo,95147,77855,17292
ENEMDU,mar-19,2019,3,Poblaciï¿½n Econï¿½micamente Inactiva,4110070,3154589,955481
ENEMDU,jun-19,2019,6,Poblaciï¿½n Total,17332994,11799598,5533396
ENEMDU,jun-19,2019,6,Poblaciï¿½n menor de 15 aï¿½os,5016800,3226438,1790362
ENEMDU,jun-19,2019,6,Poblaciï¿½n en Edad de Trabajar (PET),12316194,8573161,3743033
ENEMDU,jun-19,2019,6,Poblaciï¿½n Econï¿½micamente Activa,8231949,5427660,2804289
ENEMDU,jun-19,2019,6,Empleo,7865786,5125136,2740650
ENEMDU,jun-19,2019,6,Empleo Adecuado/Pleno,3123743,2548973,574770
ENEMDU,jun-19,2019,6,Subempleo,1667278,1035658,631620
ENEMDU,jun-19,2019,6,Subempleo por insuficiencia de tiempo de trabajo,1377417,870880,506538
ENEMDU,jun-19,2019,6,Subempleo por insuficiencia de ingresos,289861,164778,125082
ENEMDU,jun-19,2019,6,Empleo no remunerado,855741,263118,592623
ENEMDU,sep-18,2018,9,Desempleo,332818,286834,45984
ENEMDU,sep-18,2018,9,Desempleo Abierto,283082,250000,33081
ENEMDU,sep-18,2018,9,Desempleo Oculto,49736,36834,12903
ENEMDU,jun-16,2016,6,Desempleo,416883,349811,67072
ENEMDU,jun-16,2016,6,Desempleo Abierto,364300,310947,53353
ENEMDU,jun-16,2016,6,Desempleo Oculto,52582,38864,13718
ENEMDU,jun-16,2016,6,Desempleo Cesante,351373,295933,55440
ENEMDU,jun-16,2016,6,Desempleo Nuevo,65510,53878,11632
ENEMDU,dic-13,2013,12,Poblaciï¿½n Total,15872755,10721616,5151139
ENEMDU,dic-13,2013,12,Poblaciï¿½n menor de 15 aï¿½os,4672384,3003893,1668492
ENEMDU,dic-13,2013,12,Poblaciï¿½n en Edad de Trabajar (PET),11200371,7717723,3482647
ENEMDU,sep-16,2016,9,Poblaciï¿½n Total,16593827,11313724,5280103
ENEMDU,sep-16,2016,9,Poblaciï¿½n menor de 15 aï¿½os,4954502,3222330,1732172
