anio_fiscal,pib_real_millones,poblacion_total,pib_pc_real_usd,tasa_variacion_anual,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2010,78725.72614351373,14883661,5289.40602339127,2.161071549426996,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39687,2010,2026-07-09
2011,85402.83055997187,15160587,5633.213975156231,6.499934968965215,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39688,2011,2026-07-09
2012,90341.85725994881,15440550,5850.948137206823,3.865185363290835,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39689,2012,2026-07-09
2013,96856.62183455059,15717514,6162.337239499237,5.322028071181428,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39690,2013,2026-07-09
2014,100949.8461118007,15994366,6311.587849859175,2.421980566127968,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39691,2014,2026-07-09
2015,101070.67466662866,16269171,6212.404717279612,-1.571445014138173,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39692,2015,2026-07-09
2016,100375.35400413565,16532265,6071.48228050637,-2.2684039946925805,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39693,2016,2026-07-09
2017,106368.16411547796,16792803,6334.151845613741,4.3262839776494255,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39694,2017,2026-07-09
2018,107478.96100000001,17077883,6293.459265413636,-0.6424313971614914,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39695,2018,2026-07-09
2019,107656.73599999999,17356880,6202.53962693756,-1.4446687368857902,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39696,2019,2026-07-09
2020,97703.76718170314,17526455,5574.645139687583,-10.123183808823056,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39697,2020,2026-07-09
2021,106909.31128696745,17614396,6069.4281703992265,8.875596891165882,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39698,2021,2026-07-09
1965,11913.499366873479,5333856,2233.5622421890425,,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39642,1965,2026-07-09
1966,12163.19031623626,5489552,2215.698169219685,-0.7998018874033952,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39643,1966,2026-07-09
1967,12636.436990391485,5649957,2236.5545419888126,0.9413002663838821,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39644,1967,2026-07-09
1968,12927.387326442613,5814989,2223.1146656412616,-0.6009187835678609,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39645,1968,2026-07-09
1969,13614.093419796764,5984485,2274.8980772442014,2.329318069070574,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39646,1969,2026-07-09
