anio,codigo_cie,seccion,industria,valor,unidad,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2022,7316735,Total L -Actividades inmobiliarias,7383988,8071707.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40140,2022_7316735,2026-07-09
2018,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",7768852.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40141,2018_69,2026-07-09
2019,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",7750344.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40142,2019_69,2026-07-09
2018,8020002,Total O -AdministraciÃ³n pÃºblica,8003155,7955241.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40160,2018_8020002,2026-07-09
2019,8020002,Total O -AdministraciÃ³n pÃºblica,8003155,7881308.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40161,2019_8020002,2026-07-09
2020,8020002,Total O -AdministraciÃ³n pÃºblica,8003155,8252090.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40162,2020_8020002,2026-07-09
2021,8020002,Total O -AdministraciÃ³n pÃºblica,8003155,8446015.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40163,2021_8020002,2026-07-09
2022,8020002,Total O -AdministraciÃ³n pÃºblica,8003155,8635852.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40164,2022_8020002,2026-07-09
2018,71,P -EnseÃ±anza,Servicios de enseÃ±anza privada,1574291.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40165,2018_71,2026-07-09
2019,71,P -EnseÃ±anza,Servicios de enseÃ±anza privada,1685789.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40166,2019_71,2026-07-09
2020,71,P -EnseÃ±anza,Servicios de enseÃ±anza privada,1618555.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40167,2020_71,2026-07-09
2021,71,P -EnseÃ±anza,Servicios de enseÃ±anza privada,1594325.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40168,2021_71,2026-07-09
2022,71,P -EnseÃ±anza,Servicios de enseÃ±anza privada,1638041.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40169,2022_71,2026-07-09
2023,71,P -EnseÃ±anza,Servicios de enseÃ±anza privada,1763632.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40170,2023_71,2026-07-09
2024P,71,P -EnseÃ±anza,Servicios de enseÃ±anza privada,1864937.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40171,2024P_71,2026-07-09
2018,5371089,Total P -EnseÃ±anza,5450125,5050793.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40172,2018_5371089,2026-07-09
2019,5371089,Total P -EnseÃ±anza,5450125,5084214.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40173,2019_5371089,2026-07-09
2020,5371089,Total P -EnseÃ±anza,5450125,5217507.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40174,2020_5371089,2026-07-09
2021,5371089,Total P -EnseÃ±anza,5450125,5745918.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40175,2021_5371089,2026-07-09
2022,5371089,Total P -EnseÃ±anza,5450125,5824742.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40176,2022_5371089,2026-07-09
2018,73,Q -Salud y asistencia social,Actividades de atenciÃ³n de la salud humana y de asistencia social privada,1416272.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40177,2018_73,2026-07-09
2019,73,Q -Salud y asistencia social,Actividades de atenciÃ³n de la salud humana y de asistencia social privada,1521328.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40178,2019_73,2026-07-09
2018,1087372,"Total R - S - U -Arte, entretenimiento y otras actividades de servicios",1177071,1032143.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40196,2018_1087372,2026-07-09
2019,1087372,"Total R - S - U -Arte, entretenimiento y otras actividades de servicios",1177071,1081417.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40197,2019_1087372,2026-07-09
2020,1087372,"Total R - S - U -Arte, entretenimiento y otras actividades de servicios",1177071,1093336.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40198,2020_1087372,2026-07-09
2020,64,J -InformaciÃ³n y comunicaciÃ³n,InformaciÃ³n y comunicaciÃ³n,2310192.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40107,2020_64,2026-07-09
2021,64,J -InformaciÃ³n y comunicaciÃ³n,InformaciÃ³n y comunicaciÃ³n,2310112.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40108,2021_64,2026-07-09
2022,64,J -InformaciÃ³n y comunicaciÃ³n,InformaciÃ³n y comunicaciÃ³n,2483292.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40109,2022_64,2026-07-09
2023,64,J -InformaciÃ³n y comunicaciÃ³n,InformaciÃ³n y comunicaciÃ³n,2466267.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40110,2023_64,2026-07-09
2024P,64,J -InformaciÃ³n y comunicaciÃ³n,InformaciÃ³n y comunicaciÃ³n,2475743.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40111,2024P_64,2026-07-09
2018,2567002,Total J -InformaciÃ³n y comunicaciÃ³n,2485971,2310192.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40112,2018_2567002,2026-07-09
2019,2567002,Total J -InformaciÃ³n y comunicaciÃ³n,2485971,2310112.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40113,2019_2567002,2026-07-09
2020,2567002,Total J -InformaciÃ³n y comunicaciÃ³n,2485971,2483292.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40114,2020_2567002,2026-07-09
2021,2567002,Total J -InformaciÃ³n y comunicaciÃ³n,2485971,2466267.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40115,2021_2567002,2026-07-09
2022,2567002,Total J -InformaciÃ³n y comunicaciÃ³n,2485971,2475743.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40116,2022_2567002,2026-07-09
2018,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",3323745.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40117,2018_65,2026-07-09
2019,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",3435861.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40118,2019_65,2026-07-09
2020,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",3344792.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40119,2020_65,2026-07-09
2021,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",3768773.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40120,2021_65,2026-07-09
2022,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",4472377.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40121,2022_65,2026-07-09
2023,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",4659672.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40122,2023_65,2026-07-09
2024P,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",4750744.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40123,2024P_65,2026-07-09
2018,4017074,Total K -Actividades financieras y de seguros,4167908.9999999995,3970252.9999999995,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40124,2018_4017074,2026-07-09
2020,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",6731403.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40143,2020_69,2026-07-09
2021,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",7310324.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40144,2021_69,2026-07-09
2022,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",7920924.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40145,2022_69,2026-07-09
2023,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",8410829.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40146,2023_69,2026-07-09
