anio_censo,provincia,canton,sexo,rango_edad,total_ocupados,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,ramas_actividad_agricultura_pesca,ramas_actividad_minas_canteras,ramas_actividad_industrias_manufactureras,ramas_actividad_electricidad_gas,ramas_actividad_agua_saneamiento,ramas_actividad_construccion,ramas_actividad_comercio,ramas_actividad_transporte_almacenamiento,ramas_actividad_alojamiento_comidas,ramas_actividad_informacion_comunicacion,ramas_actividad_financieras_seguros,ramas_actividad_inmobiliarias,ramas_actividad_profesionales_cientificas,ramas_actividad_servicios_administrativos,ramas_actividad_administracion_publica,ramas_actividad_ensenanza,ramas_actividad_salud_asistencia,ramas_actividad_arte_entretenimiento,ramas_actividad_otros_servicios,ramas_actividad_hogares_empleadores,ramas_actividad_organizaciones_extraterritoriales,ramas_actividad_no_clasificado
2022,Manabï¿½,Pajï¿½n,Mujeres,De 55-59,225,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24156,2022_manab_pajn_mujeres_de5559,2026-07-09,14,0,10,0,0,1,33,2,19,0,0,0,3,3,15,20,5,0,8,16,0,76
2022,Manabï¿½,Pajï¿½n,Mujeres,De 60-64,196,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24157,2022_manab_pajn_mujeres_de6064,2026-07-09,6,0,2,0,0,0,14,0,13,0,0,0,0,0,5,11,2,0,7,7,0,129
2022,Manabï¿½,Pajï¿½n,Mujeres,De 65-69,164,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24158,2022_manab_pajn_mujeres_de6569,2026-07-09,8,0,0,0,0,0,16,0,9,0,0,0,0,1,2,2,2,0,3,1,0,120
2022,Manabï¿½,Tosagua,Hombres,De 80-84,37,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24385,2022_manab_tosagua_hombres_de8084,2026-07-09,9,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2022,Manabï¿½,Rocafuerte,Hombres,De 70-74,296,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24239,2022_manab_rocafuerte_hombres_de7074,2026-07-09,139,0,6,0,0,2,16,5,4,0,0,0,0,0,0,1,1,1,1,3,0,117
2022,Manabï¿½,Rocafuerte,Hombres,De 75-79,180,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24240,2022_manab_rocafuerte_hombres_de7579,2026-07-09,62,0,1,0,0,2,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,104
2022,Manabï¿½,Sucre,Total Sucre,Total Sucre,21,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24307,2022_manab_sucre_totalsucre_totalsucre,2026-07-09,873,5,917,57,990,48,81,1,91,2,752,813,1,174,137,117,97,245,530,835,883,740
2022,Manabï¿½,Pajï¿½n,Hombres,De 45-49,908,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24138,2022_manab_pajn_hombres_de4549,2026-07-09,526,1,16,1,1,25,64,44,14,2,0,2,5,7,30,14,7,2,4,0,0,143
2022,Manabï¿½,Pajï¿½n,Hombres,De 50-54,828,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24139,2022_manab_pajn_hombres_de5054,2026-07-09,514,0,13,1,1,25,53,26,6,1,0,0,5,4,30,6,2,0,3,4,0,134
2022,Manabï¿½,Pajï¿½n,Hombres,De 55-59,760,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24140,2022_manab_pajn_hombres_de5559,2026-07-09,426,0,16,1,3,26,51,22,8,2,0,0,5,2,32,9,6,1,7,2,0,141
2022,Manabï¿½,Pedernales,Hombres,De 35-39,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24472,2022_manab_pedernales_hombres_de3539,2026-07-09,413,607,0,127,9,12,100,158,115,29,10,4,1,7,39,48,30,12,4,13,6,0
2022,Manabï¿½,Pedernales,Hombres,De 40-44,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,24473,2022_manab_pedernales_hombres_de4044,2026-07-09,249,551,2,84,5,6,102,137,98,44,4,1,2,5,33,35,21,9,8,17,4,0
