periodo_fiscal,fecha_publicacion,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,metricas_iee_global,metricas_comercio,metricas_construccion,metricas_manufactura,metricas_servicios
2024-01,2024-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80517,2024-01,2026-07-09,44.8,46.2,43.7,45.8,43.9
2024-02,2024-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80518,2024-02,2026-07-09,53.0,51.5,49.1,54.2,54.0
2024-03,2024-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80519,2024-03,2026-07-09,60.6,62.4,61.3,58.4,60.5
2024-04,2024-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80520,2024-04,2026-07-09,51.3,47.1,50.4,54.4,52.3
2024-05,2024-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80521,2024-05,2026-07-09,54.6,58.0,48.3,54.2,54.2
2024-06,2024-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80522,2024-06,2026-07-09,51.6,50.3,43.7,43.3,57.5
2021-12,2021-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80492,2021-12,2026-07-09,53.1,48.8,47.7,53.6,56.1
2022-01,2022-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80493,2022-01,2026-07-09,49.5,47.7,41.1,48.8,52.4
2022-02,2022-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80494,2022-02,2026-07-09,55.2,55.1,52.3,55.8,55.5
2022-03,2022-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80495,2022-03,2026-07-09,57.6,60.4,52.4,58.3,56.7
2024-07,2024-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80523,2024-07,2026-07-09,57.5,54.3,57.0,53.6,61.0
2024-08,2024-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80524,2024-08,2026-07-09,58.8,57.6,50.0,52.2,64.1
2024-09,2024-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80525,2024-09,2026-07-09,50.0,47.9,49.8,48.0,49.5
2024-10,2024-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80526,2024-10,2026-07-09,56.3,56.9,54.7,50.5,58.8
2020-06,2020-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80474,2020-06,2026-07-09,57.6,58.3,53.1,55.2,59.1
2020-07,2020-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80475,2020-07,2026-07-09,56.6,60.4,51.3,56.0,55.9
2020-08,2020-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80476,2020-08,2026-07-09,57.2,57.4,47.3,49.1,62.6
2020-09,2020-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80477,2020-09,2026-07-09,60.1,62.1,52.5,59.1,61.0
2022-04,2022-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80496,2022-04,2026-07-09,57.5,57.1,45.8,45.3,65.6
2022-05,2022-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80497,2022-05,2026-07-09,57.1,54.7,51.2,50.6,62.5
