encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,metricas_nacional_total,metricas_area_urbana,metricas_area_rural,metricas_sexo_hombre,metricas_sexo_mujer
ENEMDU,jun-15,2015,6,Desempleo Abierto,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15278,2015-06_desempleoabierto,2026-07-09,272560,237491,35069,132159,140401
ENEMDU,jun-15,2015,6,Desempleo Oculto,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15279,2015-06_desempleooculto,2026-07-09,59557,40499,19058,27056,32501
ENEMDU,jun-15,2015,6,Desempleo Cesante,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15280,2015-06_desempleocesante,2026-07-09,253886,217732,36154,126010,127876
ENEMDU,jun-15,2015,6,Desempleo Nuevo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15281,2015-06_desempleonuevo,2026-07-09,78231,60258,17973,33206,45025
ENEMDU,jun-15,2015,6,Poblaciï¿½n Econï¿½micamente Inactiva,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15282,2015-06_poblacineconmicamenteinactiva,2026-07-09,3851383,2840307,1011076,1085847,2765536
ENEMDU,sep-15,2015,9,Poblaciï¿½n Total,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15283,2015-09_poblacintotal,2026-07-09,16312205,11073820,5238385,8035655,8276550
ENEMDU,sep-15,2015,9,Poblaciï¿½n menor de 15 aï¿½os,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15284,2015-09_poblacinmenorde15aos,2026-07-09,4993807,3213425,1780382,2554395,2439412
ENEMDU,sep-15,2015,9,Poblaciï¿½n en Edad de Trabajar (PET),Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15285,2015-09_poblacinenedaddetrabajarpet,2026-07-09,11318398,7860395,3458003,5481260,5837138
ENEMDU,sep-15,2015,9,Poblaciï¿½n Econï¿½micamente Activa,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15286,2015-09_poblacineconmicamenteactiva,2026-07-09,7599717,5135610,2464107,4436007,3163711
ENEMDU,sep-15,2015,9,Empleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15287,2015-09_empleo,2026-07-09,7274221,4854005,2420216,4284388,2989833
