anio_censo,provincia,canton,sexo,rango_edad,total_ocupados,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,grupos_ocupacion_ocupaciones_militares,grupos_ocupacion_directores_gerentes,grupos_ocupacion_profesionales_cientificos,grupos_ocupacion_tecnicos_medio_nivel,grupos_ocupacion_personal_apoyo_admin,grupos_ocupacion_trabajadores_servicios,grupos_ocupacion_agricultores_calificados,grupos_ocupacion_oficiales_operarios_artes,grupos_ocupacion_operadores_maquinaria,grupos_ocupacion_ocupaciones_elementales,grupos_ocupacion_no_especificado
2022,Napo,Quijos,Hombres,De 20-24,125,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36935,2022_napo_quijos_hombres_de2024,2026-07-09,1,0,4,5,5,35,12,16,7,31,9
2022,Napo,Quijos,Hombres,De 25-29,205,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36936,2022_napo_quijos_hombres_de2529,2026-07-09,1,4,33,15,5,38,15,25,24,36,9
2022,Napo,Quijos,Hombres,De 30-34,196,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36937,2022_napo_quijos_hombres_de3034,2026-07-09,1,0,31,20,8,30,20,18,26,38,4
2022,Napo,Quijos,Hombres,De 35-39,195,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36938,2022_napo_quijos_hombres_de3539,2026-07-09,1,4,16,13,4,44,23,22,32,34,2
2022,Napo,Quijos,Hombres,De 40-44,208,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36939,2022_napo_quijos_hombres_de4044,2026-07-09,0,6,18,12,6,36,22,32,50,19,7
2022,Morona Santiago,Pablo Sexto,Hombres,85 o mï¿½s,2,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36678,2022_moronasantiago_pablosexto_hombres_85oms,2026-07-09,0,0,0,0,0,0,0,0,0,0,2
2022,Morona Santiago,Pablo Sexto,Mujeres,Total Mujeres,199,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36679,2022_moronasantiago_pablosexto_mujeres_totalmujeres,2026-07-09,0,4,58,20,18,51,10,4,0,25,9
2022,Morona Santiago,Pablo Sexto,Mujeres,De 15-19,6,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36680,2022_moronasantiago_pablosexto_mujeres_de1519,2026-07-09,0,0,0,1,1,3,0,0,0,1,0
2022,Napo,Quijos,Mujeres,De 40-44,145,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36955,2022_napo_quijos_mujeres_de4044,2026-07-09,0,6,22,5,9,48,9,8,1,28,9
2022,Napo,Quijos,Mujeres,De 45-49,118,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36956,2022_napo_quijos_mujeres_de4549,2026-07-09,0,3,23,5,10,37,14,4,1,16,5
