anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes,bach_3_masculino,bach_3_femenino,provincia_normalizada,canton_normalizado,bachilleres_3ro
2023-2024 INICIO,17H02526,UNIDAD EDUCATIVA TECNICO ECUADOR,PICHINCHA,17,SAN MIGUEL DE LOS BANCOS,1707,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCOMISIONAL,592,28,31,PICHINCHA,SAN MIGUEL DE LOS BANCOS,59
2023-2024 INICIO,13H03892,UNIDAD EDUCATIVA TECNICO PEDERNALES,MANABI,13,PEDERNALES,1317,"EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCAL,1723,68,71,MANABI,PEDERNALES,139
2023-2024 INICIO,13H05091,UNIDAD EDUCATIVA TEMISTOCLES CHICA SALDARREAGA,MANABI,13,CHONE,1303,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,331,17,12,MANABI,CHONE,29
2023-2024 INICIO,21H00542,UNIDAD EDUCATIVA TEMPORAL DR JULIO ALVAREZ CRESPO,SUCUMBIOS,21,SHUSHUFINDI,2104,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,1271,68,48,SUCUMBIOS,SHUSHUFINDI,116
2023-2024 INICIO,09H02842,UNIDAD EDUCATIVA TENGUEL SARAGURO,GUAYAS,9,GUAYAQUIL,901,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,1623,58,50,GUAYAS,GUAYAQUIL,108
2023-2024 INICIO,21H00859,UNIDAD EDUCATIVA TENIENTE CORONEL LAURO GUERRERO,SUCUMBIOS,21,SHUSHUFINDI,2104,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,589,39,41,SUCUMBIOS,SHUSHUFINDI,80
2023-2024 INICIO,09H04099,UNIDAD EDUCATIVA TENIENTE HUGO ORTIZ,GUAYAS,9,MILAGRO,910,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,855,37,44,GUAYAS,MILAGRO,81
2023-2024 INICIO,19H00225,UNIDAD EDUCATIVA TENIENTE SEGUNDO QUIROZ,ZAMORA CHINCHIPE,19,NANGARITZA,1903,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,132,4,6,ZAMORA CHINCHIPE,NANGARITZA,10
2023-2024 INICIO,09H02881,UNIDAD EDUCATIVA TEODORO ALVARADO GARAICOA,GUAYAS,9,ALFREDO BAQUERIZO MORENO,902,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCAL,1453,86,86,GUAYAS,ALFREDO BAQUERIZO MORENO,172
2023-2024 INICIO,10H00118,UNIDAD EDUCATIVA TEODORO GOMEZ DE LA TORRE,IMBABURA,10,IBARRA,1001,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,3815,228,193,IMBABURA,IBARRA,421
